Season,Lg,Team,W,L,W/L%,Finish,SRS,Pace,Rel_Pace,ORtg,Rel_ORtg,DRtg,Rel_DRtg,Playoffs,Coaches,Top WS
1980-81,NBA,Chicago Bulls*,45,37,.549,2,2.34,100.6,-1.2,107.8,2.3,105.8,0.3,Lost E. Conf. Semis,J. Sloan (45-37),A. Gilmore (12.3)
1979-80,NBA,Chicago Bulls,30,52,.366,4,-2.63,101.8,-1.3,104.3,-1.0,107.0,1.7,,J. Sloan (30-52),R. Theus (6.9)
1978-79,NBA,Chicago Bulls,31,51,.378,5,-3.78,102.9,-2.9,101.3,-2.5,105.1,1.3,,L. Costello (20-36) S. Robertson (11-15),A. Gilmore (12.7)
1977-78,NBA,Chicago Bulls,40,42,.488,3,-0.79,101.5,-5.2,102.0,1.1,102.9,2.0,,E. Badger (40-42),A. Gilmore (11.5)
1976-77,NBA,Chicago Bulls*,44,38,.537,3,0.92,100.0,-6.5,98.3,-1.2,97.4,-2.1,Lost W. Conf. 1st Rnd.,E. Badger (44-38),A. Gilmore (12.2)
1975-76,NBA,Chicago Bulls,24,58,.293,4,-2.89,100.3,-5.2,95.2,-3.1,98.0,-0.3,,D. Motta (24-58),M. Johnson (8.3)
1974-75,NBA,Chicago Bulls*,47,35,.573,1,2.88,99.7,-4.8,97.4,-0.3,94.4,-3.3,Lost W. Conf. Finals,D. Motta (47-35),C. Walker (10.5)
1973-74,NBA,Chicago Bulls*,54,28,.659,2,3.20,105.0,-2.8,96.7,-1.0,93.6,-4.1,Lost W. Conf. Finals,D. Motta (54-28),C. Walker (10.6)
1972-73,NBA,Chicago Bulls*,51,31,.622,2,3.43,104.5,-6.2,98.9,2.1,95.6,-1.2,Lost W. Conf. Semis,D. Motta (51-31),C. Walker (10.9)
1971-72,NBA,Chicago Bulls*,57,25,.695,2,7.91,108.6,-3.4,101.9,4.0,94.3,-3.6,Lost W. Conf. Semis,D. Motta (57-25),C. Walker (14.5)
1970-71,NBA,Chicago Bulls*,51,31,.622,2,5.47,109.7,-5.4,100.5,3.3,95.7,-1.5,Lost W. Conf. Semis,D. Motta (51-31),C. Walker (10.9)
1969-70,NBA,Chicago Bulls*,39,43,.476,4,-1.71,116.5,-0.6,97.6,-1.4,99.1,0.1,Lost W. Div. Semis,D. Motta (39-43),C. Walker (9.8)
1968-69,NBA,Chicago Bulls,33,49,.402,5,-2.11,113.4,-3.5,92.0,-3.5,94.0,-1.5,,D. Motta (33-49),B. Boozer (11.6)
1967-68,NBA,Chicago Bulls*,29,53,.354,4,-3.76,115.7,-4.1,94.1,-2.7,97.5,0.7,Lost W. Div. Semis,R. Kerr (29-53),B. Boozer (10.6)
1966-67,NBA,Chicago Bulls*,33,48,.407,4,-3.37,122.2,0.6,92.3,-3.8,95.4,-0.7,Lost W. Div. Semis,R. Kerr (33-48),B. Boozer (9.4)
