Season,Lg,Team,W,L,W/L%,Finish,SRS,Pace,Rel_Pace,ORtg,Rel_ORtg,DRtg,Rel_DRtg,Playoffs,Coaches,Top WS
1992-93,NBA,Dallas Mavericks,11,71,.134,6,-14.68,99.5,2.7,99.5,-8.5,114.7,6.7,,R. Adubato (2-27) G. Heard (9-44),D. Harper (2.7)
1991-92,NBA,Dallas Mavericks,22,60,.268,5,-7.47,94.4,-2.2,103.0,-5.2,111.1,2.9,,R. Adubato (22-60),R. Blackman (3.8)
1990-91,NBA,Dallas Mavericks,28,54,.341,6,-4.27,94.2,-3.6,105.5,-2.4,110.3,2.4,,R. Adubato (28-54),D. Harper (7.6)
1989-90,NBA,Dallas Mavericks*,47,35,.573,3,0.42,94.5,-3.8,107.2,-0.9,107.2,-0.9,Lost W. Conf. 1st Rnd.,J. MacLeod (5-6) R. Adubato (42-29),D. Harper (9.9)
1988-89,NBA,Dallas Mavericks,38,44,.463,4,-1.79,95.9,-4.7,107.4,-0.4,108.6,0.8,,J. MacLeod (38-44),D. Harper (8.0)
1987-88,NBA,Dallas Mavericks*,53,29,.646,2,3.59,97.0,-2.6,112.2,4.2,107.7,-0.3,Lost W. Conf. Finals,J. MacLeod (53-29),D. Harper (9.1)
1986-87,NBA,Dallas Mavericks*,55,27,.671,1,5.54,100.5,-0.3,114.9,6.6,108.7,0.4,Lost W. Conf. 1st Rnd.,D. Motta (55-27),J. Donaldson (10.4)
1985-86,NBA,Dallas Mavericks*,44,38,.537,3,0.70,102.2,0.1,112.1,4.9,111.0,3.8,Lost W. Conf. Semis,D. Motta (44-38),S. Perkins (7.3)
1984-85,NBA,Dallas Mavericks*,44,38,.537,3,1.80,98.8,-3.3,111.5,3.6,109.3,1.4,Lost W. Conf. 1st Rnd.,D. Motta (44-38),B. Davis (7.4)
1983-84,NBA,Dallas Mavericks*,43,39,.524,2,0.15,99.0,-2.4,110.0,2.4,109.6,2.0,Lost W. Conf. Semis,D. Motta (43-39),R. Blackman (9.8)
1982-83,NBA,Dallas Mavericks,38,44,.463,4,-0.70,102.8,-0.3,109.4,4.7,109.8,5.1,,D. Motta (38-44),B. Davis (7.3)
1981-82,NBA,Dallas Mavericks,28,54,.341,5,-4.48,98.5,-2.4,105.9,-1.0,110.4,3.5,,D. Motta (28-54),J. Vincent (5.6)
1980-81,NBA,Dallas Mavericks,15,67,.183,6,-8.33,98.6,-3.2,102.4,-3.1,110.8,5.3,,D. Motta (15-67),J. Spanarkel (5.5)
