Season,Lg,Tm,W,L,Finish,,Age,Ht.,Wt.,,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2014-15,NBA,CHO,22,32,4,,25.9,6-6,220,,54,13135,1928,4577,.421,309,1004,.308,1619,3573,.453,922,1252,.736,550,1820,2370,1105,319,298,638,1011,5087
2013-14,NBA,CHA,43,39,3,,25.5,6-6,221,,82,19905,2976,6730,.442,516,1471,.351,2460,5259,.468,1474,2000,.737,776,2724,3500,1778,499,421,1010,1493,7942
2012-13,NBA,CHA,21,61,4,,24.4,6-6,219,,82,19805,2823,6649,.425,469,1399,.335,2354,5250,.448,1546,2060,.750,917,2389,3306,1587,591,479,1153,1561,7661
2011-12,NBA,CHA,7,59,5,,24.5,6-6,218,,66,15890,2193,5293,.414,263,892,.295,1930,4401,.439,1090,1462,.746,677,1894,2571,1326,397,361,957,1249,5739
2010-11,NBA,CHA,34,48,4,,26.9,6-6,216,,82,19805,2873,6365,.451,393,1203,.327,2480,5162,.480,1511,1999,.756,848,2444,3292,1728,524,433,1192,1637,7650
2009-10,NBA,CHA,44,38,4,,27.4,6-6,212,,82,19880,2858,6306,.453,460,1331,.346,2398,4975,.482,1637,2180,.751,858,2490,3348,1658,632,446,1290,1597,7813
2008-09,NBA,CHA,35,47,4,,25.8,6-6,217,,82,19930,2866,6299,.455,490,1339,.366,2376,4960,.479,1455,1965,.740,886,2366,3252,1741,580,397,1279,1754,7677
2007-08,NBA,CHA,32,50,4,,26.3,6-6,216,,82,19880,2960,6554,.452,529,1443,.367,2431,5111,.476,1510,2115,.714,892,2440,3332,1748,614,402,1204,1777,7959
2006-07,NBA,CHA,33,49,4,,25.5,6-6,217,,82,20005,2960,6643,.446,457,1280,.357,2503,5363,.467,1568,2136,.734,920,2346,3266,1836,638,369,1224,1985,7945
2005-06,NBA,CHA,26,56,4,,25.2,6-6,219,,82,19905,2961,6843,.433,428,1261,.339,2533,5582,.454,1593,2186,.729,990,2270,3260,1717,822,354,1167,1960,7943
2004-05,NBA,CHA,18,64,4,,24.9,6-7,221,,82,19880,2961,6859,.432,320,881,.363,2641,5978,.442,1487,2096,.709,1083,2335,3418,1794,695,440,1192,1894,7729
2001-02,NBA,CHH,44,38,2,,28.3,6-6,221,,82,19755,2893,6580,.440,346,994,.348,2547,5586,.456,1568,2105,.745,1059,2505,3564,1759,653,456,1150,1747,7700
2000-01,NBA,CHH,46,36,3,,28.2,6-6,217,,82,19880,2800,6501,.431,340,984,.346,2460,5517,.446,1599,2146,.745,1033,2608,3641,1900,665,455,1183,1753,7539
1999-00,NBA,CHH,49,33,2,,28.7,6-6,216,,82,19780,2935,6533,.449,339,1001,.339,2596,5532,.469,1863,2458,.758,884,2635,3519,2023,732,480,1206,1670,8072
1998-99,NBA,CHH,26,24,5,,29.0,6-6,210,,50,12150,1671,3718,.449,268,735,.365,1403,2983,.470,1034,1384,.747,480,1493,1973,1110,443,247,796,1101,4644
1997-98,NBA,CHH,51,31,3,,29.2,6-6,219,,82,19780,2968,6344,.468,346,904,.383,2622,5440,.482,1641,2186,.751,985,2341,3326,1941,691,312,1247,1757,7923
1996-97,NBA,CHH,54,28,4,,29.1,6-5,213,,82,19805,2988,6342,.471,591,1382,.428,2397,4960,.483,1541,1984,.777,910,2298,3208,2021,597,349,1203,1702,8108
1995-96,NBA,CHH,41,41,6,,27.8,6-6,215,,82,19880,3108,6618,.470,584,1520,.384,2524,5098,.495,1631,2119,.770,987,2256,3243,1907,582,277,1241,1815,8431
1994-95,NBA,CHH,50,32,2,,28.0,6-4,206,,82,19805,3051,6438,.474,560,1409,.397,2491,5029,.495,1587,2042,.777,832,2395,3227,2072,620,399,1224,1685,8249
1993-94,NBA,CHH,41,41,5,,27.6,6-4,202,,82,19830,3382,7100,.476,336,916,.367,3046,6184,.493,1632,2135,.764,1019,2475,3494,2214,724,394,1266,1747,8732
Season,Lg,Tm,W,L,Finish,,Age,Ht.,Wt.,,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1992-93,NBA,CHH,44,38,3,,25.7,6-4,203,,82,19755,3512,7210,.487,175,537,.326,3337,6673,.500,1831,2374,.771,1095,2508,3603,2161,639,473,1325,1790,9030
1991-92,NBA,CHH,31,51,7,,25.2,6-4,204,,82,19805,3613,7568,.477,117,369,.317,3496,7199,.486,1637,2168,.755,1164,2367,3531,2284,822,309,1273,1819,8980
1990-91,NBA,CHH,26,56,7,,25.5,6-5,206,,82,19805,3286,7033,.467,131,417,.314,3155,6616,.477,1725,2214,.779,1027,2200,3227,2019,759,304,1290,1946,8428
1989-90,NBA,CHH,19,63,7,,25.6,6-4,204,,82,19755,3270,7183,.455,205,611,.336,3065,6572,.466,1487,1967,.756,962,2211,3173,2080,778,262,1226,1889,8232
1988-89,NBA,CHH,20,62,6,,27.2,6-5,203,,82,19780,3426,7430,.461,134,430,.312,3292,7000,.470,1580,2060,.767,1138,2200,3338,2323,705,264,1318,2068,8566
