Season,Lg,Tm,W,L,Finish,,Age,Ht.,Wt.,,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2014-15,NBA,MIN,12,43,5,,24.6,6-7,214,,55,13250,2022,4648,.435,277,824,.336,1745,3824,.456,1061,1395,.761,680,1610,2290,1210,462,220,835,1081,5382
2013-14,NBA,MIN,40,42,3,,26.3,6-7,216,,82,19855,3189,7175,.444,600,1757,.341,2589,5418,.478,1790,2301,.778,1024,2644,3668,1963,718,297,1142,1504,8768
2012-13,NBA,MIN,31,51,5,,26.4,6-6,217,,82,19730,2943,6702,.439,450,1475,.305,2493,5227,.477,1515,2042,.742,973,2473,3446,1836,700,387,1214,1509,7851
2011-12,NBA,MIN,26,40,5,,24.4,6-6,220,,66,15940,2355,5434,.433,473,1423,.332,1882,4011,.469,1281,1662,.771,797,2089,2886,1290,436,293,1001,1212,6464
2010-11,NBA,MIN,17,65,5,,23.8,6-7,220,,82,19780,3090,7014,.441,589,1565,.376,2501,5449,.459,1519,1977,.768,1085,2556,3641,1650,592,422,1398,1825,8288
2009-10,NBA,MIN,15,67,5,,24.1,6-7,224,,82,19780,3106,6923,.449,403,1181,.341,2703,5742,.471,1436,1926,.746,962,2556,3518,1626,597,306,1333,1699,8051
2008-09,NBA,MIN,24,58,4,,25.4,6-6,226,,82,19805,2986,6766,.441,543,1539,.353,2443,5227,.467,1504,1957,.769,975,2442,3417,1674,512,322,1165,1785,8019
2007-08,NBA,MIN,22,60,4,,24.6,6-6,222,,82,19730,3076,6817,.451,441,1259,.350,2635,5558,.474,1246,1693,.736,964,2428,3392,1630,616,306,1188,1885,7839
2006-07,NBA,MIN,32,50,4,,27.7,6-6,211,,82,20005,2997,6503,.461,384,1089,.353,2613,5414,.483,1499,1892,.792,819,2474,3293,1848,532,325,1278,1758,7877
2005-06,NBA,MIN,33,49,4,,26.7,6-7,214,,82,19855,2888,6340,.456,310,942,.329,2578,5398,.478,1436,1895,.758,811,2422,3233,1716,559,471,1189,1889,7522
2004-05,NBA,MIN,44,38,3,,29.0,6-6,213,,82,19755,3045,6629,.459,395,1145,.345,2650,5484,.483,1449,1820,.796,947,2580,3527,1918,460,447,1079,1774,7934
2003-04,NBA,MIN,58,24,1,,29.7,6-6,213,,82,19755,3033,6571,.462,326,897,.363,2707,5674,.477,1361,1743,.781,875,2645,3520,1890,561,462,1043,1731,7753
2002-03,NBA,MIN,51,31,3,,28.2,6-7,217,,82,19805,3172,6809,.466,296,804,.368,2876,6005,.479,1406,1826,.770,959,2614,3573,2070,553,433,1124,1704,8046
2001-02,NBA,MIN,50,32,3,,26.7,6-7,224,,82,19805,3175,6887,.461,396,1047,.378,2779,5840,.476,1399,1754,.798,1059,2562,3621,1993,524,427,1097,1739,8145
2000-01,NBA,MIN,47,35,4,,27.4,6-6,217,,82,19830,3148,6871,.458,322,901,.357,2826,5970,.473,1364,1737,.785,1002,2470,3472,2083,682,456,1136,1900,7982
1999-00,NBA,MIN,50,32,3,,26.6,6-6,213,,82,19905,3226,6910,.467,248,716,.346,2978,6194,.481,1379,1769,.780,1016,2471,3487,2205,622,444,1139,1913,8079
1998-99,NBA,MIN,25,25,4,,27.2,6-6,209,,50,12025,1838,4327,.425,122,410,.298,1716,3917,.438,849,1143,.743,754,1392,2146,1218,426,272,641,1185,4647
1997-98,NBA,MIN,45,37,3,,26.4,6-7,214,,82,19930,3157,6844,.461,303,873,.347,2854,5971,.478,1673,2253,.743,1063,2429,3492,2068,639,427,1138,1882,8290
1996-97,NBA,MIN,40,42,3,,26.3,6-7,212,,82,19780,2937,6436,.456,371,1093,.339,2566,5343,.480,1637,2180,.751,957,2302,3259,1874,618,557,1243,1818,7882
1995-96,NBA,MIN,26,56,5,,26.4,6-6,214,,82,19780,2974,6481,.459,279,857,.326,2695,5624,.479,1797,2314,.777,985,2271,3256,1867,650,481,1426,1994,8024
Season,Lg,Tm,W,L,Finish,,Age,Ht.,Wt.,,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1994-95,NBA,MIN,21,61,6,,25.4,6-7,215,,82,19780,2792,6219,.449,318,1016,.313,2474,5203,.475,1824,2355,.775,883,2090,2973,1780,609,402,1400,2074,7726
1993-94,NBA,MIN,20,62,5,,26.2,6-7,218,,82,19730,2985,6535,.457,183,557,.329,2802,5978,.469,1777,2303,.772,990,2343,3333,1967,600,440,1478,2016,7930
1992-93,NBA,MIN,19,63,5,,25.8,6-7,217,,82,19855,3043,6529,.466,166,569,.292,2877,5960,.483,1794,2247,.798,940,2204,3144,2001,649,455,1422,2028,8046
1991-92,NBA,MIN,15,67,6,,26.4,6-6,213,,82,19805,3366,7342,.458,126,394,.320,3240,6948,.466,1379,1857,.743,1167,2168,3335,2025,619,526,1157,1866,8237
1990-91,NBA,MIN,29,53,5,,26.2,6-6,212,,82,19905,3265,7276,.449,108,381,.283,3157,6895,.458,1531,2082,.735,1275,2113,3388,1885,712,440,1062,1864,8169
1989-90,NBA,MIN,22,60,6,,26.2,6-6,209,,82,19855,3067,6876,.446,73,294,.248,2994,6582,.455,1596,2137,.747,1196,2053,3249,1844,789,344,1197,1901,7803
