2010-11,21,SAC,NBA,C,1,0,2,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,2,0
2011-12,22,SAC,NBA,C,18,0,109,12,27,.444,0,0,,12,27,.444,.444,5,12,.417,16,23,39,0,3,15,5,12,29
2012-13,23,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
2013-14,24,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
2014-15,25,MIA,NBA,C,33,18,728,158,250,.632,0,0,,158,250,.632,.632,49,90,.544,106,226,332,4,18,81,39,85,365
Career,,,NBA,,52,18,839,170,277,.614,0,0,,170,277,.614,.614,54,102,.529,122,249,371,4,21,96,44,99,394
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 season,,MIA,NBA,,33,18,728,158,250,.632,0,0,,158,250,.632,.632,49,90,.544,106,226,332,4,18,81,39,85,365
2 seasons,,SAC,NBA,,19,0,111,12,27,.444,0,0,,12,27,.444,.444,5,12,.417,16,23,39,0,3,15,5,14,29
