2010-11,25,MIN,NBA,C,65,11,887,136,263,.517,0,0,,136,263,.517,.517,87,114,.763,90,103,193,27,18,35,91,181,359
2011-12,26,MIN,NBA,C,47,35,1264,256,454,.564,0,0,,256,454,.564,.564,139,187,.743,181,165,346,31,29,31,87,98,651
2012-13,27,MIN,NBA,C,62,62,1959,385,741,.520,0,0,,385,741,.520,.520,241,324,.744,230,315,545,53,43,50,101,143,1011
2013-14,28,MIN,NBA,C,54,54,1663,379,701,.541,0,0,,379,701,.541,.541,186,249,.747,206,262,468,50,30,23,84,129,944
2014-15,29,MIN,NBA,C,28,26,758,129,302,.427,0,0,,129,302,.427,.427,105,124,.847,78,137,215,26,18,11,39,54,363
Career,,,NBA,,256,188,6531,1285,2461,.522,0,0,,1285,2461,.522,.522,758,998,.760,785,982,1767,187,138,150,402,605,3328
