2011-12,21,MIN,NBA,PG,41,31,1404,139,389,.357,32,94,.340,107,295,.363,.398,126,157,.803,21,150,171,336,91,8,131,97,436
2012-13,22,MIN,NBA,PG,57,47,1691,185,514,.360,27,92,.293,158,422,.374,.386,211,264,.799,44,185,229,418,137,5,172,143,608
2013-14,23,MIN,NBA,PG,82,82,2638,255,670,.381,44,133,.331,211,537,.393,.413,227,283,.802,61,281,342,704,191,11,221,218,781
2014-15,24,MIN,NBA,PG,17,17,539,64,176,.364,11,40,.275,53,136,.390,.395,55,68,.809,16,85,101,148,31,1,54,47,194
Career,,,NBA,,197,177,6272,643,1749,.368,114,359,.318,529,1390,.381,.400,619,772,.802,142,701,843,1606,450,25,578,505,2019
