2008-09,20,LAC,NBA,C,53,13,771,93,147,.633,0,0,,93,147,.633,.633,42,109,.385,72,165,237,11,11,59,41,96,228
2009-10,21,LAC,NBA,C,70,12,1137,144,238,.605,0,2,.000,144,236,.610,.605,48,128,.375,122,230,352,21,16,62,75,152,336
2010-11,22,LAC,NBA,C,80,66,2047,234,341,.686,0,1,.000,234,340,.688,.686,98,217,.452,207,368,575,42,41,142,101,255,566
2011-12,23,LAC,NBA,C,66,66,1798,206,326,.632,0,1,.000,206,325,.634,.632,74,141,.525,202,344,546,17,30,134,74,189,486
2012-13,24,LAC,NBA,C,82,82,2010,314,488,.643,0,0,,314,488,.643,.643,96,249,.386,210,384,594,28,48,112,100,192,724
2013-14,25,LAC,NBA,C,82,82,2870,348,515,.676,0,0,,348,515,.676,.676,160,374,.428,331,783,1114,74,80,203,123,264,856
2014-15,26,LAC,NBA,C,62,62,2125,281,394,.713,0,3,.000,281,391,.719,.713,128,317,.404,289,610,899,37,62,140,75,183,690
Career,,,NBA,,495,383,12758,1620,2449,.661,0,7,.000,1620,2442,.663,.661,646,1535,.421,1433,2884,4317,230,288,852,589,1331,3886
